"CÓDIGO DE LA SERIE",DCBTRORPRAT.T,DCBTRORPRAT_D091CR.T,DCBTRORPRAT_D092SR.T,DCBTRORPRAT_D093.T,DCBTRORPRAT_D0931.T,DCBTRORPRAT_D0932.T,DCBTRORPRAT_D0933.T,DCBTRORPRAT_D0934.T,DCBTRORPRAT_D094.T,DCBTRORPRAT_TS250.T,DCBTRORPRAT_T50A250.T
"NÚMERO SECUENCIAL",1627266,2412317,2412318,1800957,1800958,1800959,1800960,1800961,1800962,1627294,1627295
"ALIAS DE LA SERIE","BE_15_14.1","BE_15_14.2","BE_15_14.3","BE_15_14.4","BE_15_14.5","BE_15_14.6","BE_15_14.7","BE_15_14.8","BE_15_14.9","BE_15_14.10","BE_15_14.11"
"DESCRIPCIÓN DE LA SERIE","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Total","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Energía con refino CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Industria sin refino CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Servicios CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Comercio y hostelería CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Transporte CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Información y comunicaciones CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Otros servicios CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Actividades con cobertura reducida CNAE-09","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Empresas grandes","CBT. R.3 Rentabilidad ordinaria de los recursos propios. Empresas medianas"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1994",6.40,"_","_",5.90,12.00,-1.50,8.10,9.50,-1.70,6.40,6.00
"JUN 1994",6.30,"_","_",7.70,5.10,4.10,11.50,11.30,0.90,6.30,7.40
"SEP 1994",7.00,"_","_",9.60,10.10,9.20,10.30,2.20,1.70,7.10,6.20
"DIC 1994",6.40,"_","_",6.80,7.30,1.10,10.50,9.90,3.00,6.50,3.20
"MAR 1995",8.60,"_","_",5.70,14.90,-1.00,9.80,6.60,4.60,8.50,10.30
"JUN 1995",7.30,"_","_",6.80,6.20,2.70,13.10,7.40,2.80,7.30,8.50
"SEP 1995",8.10,"_","_",8.50,11.60,5.50,12.30,5.60,7.40,8.10,8.80
"DIC 1995",7.00,"_","_",7.40,12.40,0.30,13.30,11.70,13.30,7.00,7.30
"MAR 1996",8.00,"_","_",5.60,12.60,-0.40,11.60,3.40,5.20,7.90,9.80
"JUN 1996",7.60,"_","_",7.30,6.00,2.30,14.60,9.20,6.70,7.50,9.50
"SEP 1996",9.40,"_","_",9.60,9.80,5.80,15.80,9.10,5.70,9.40,9.60
"DIC 1996",7.20,"_","_",7.80,11.00,1.50,14.80,9.70,13.70,7.10,9.80
"MAR 1997",7.30,8.00,8.60,6.10,11.40,0.20,11.80,5.10,5.70,7.20,8.70
"JUN 1997",8.40,6.50,13.10,7.90,5.80,3.00,17.60,7.10,9.80,8.30,10.50
"SEP 1997",9.80,8.00,13.40,9.80,11.10,5.70,15.90,8.10,7.70,9.70,9.30
"DIC 1997",9.20,7.40,11.80,9.60,12.00,2.30,16.80,13.70,7.70,9.20,8.20
"MAR 1998",9.60,9.60,14.10,7.70,12.00,1.00,17.20,3.30,6.60,9.50,13.10
"JUN 1998",9.70,6.90,16.20,9.30,8.20,4.60,17.80,6.80,9.00,9.60,13.90
"SEP 1998",10.70,8.20,15.00,10.90,15.60,7.40,16.10,2.00,9.60,10.70,10.40
"DIC 1998",10.00,9.90,12.10,9.10,13.60,3.10,16.50,4.10,12.90,10.00,9.00
"MAR 1999",9.40,10.90,12.50,7.30,14.10,2.10,10.40,6.00,8.20,9.30,14.90
"JUN 1999",9.70,7.40,15.00,9.00,11.10,4.40,15.00,6.40,9.30,9.50,14.60
"SEP 1999",9.90,9.40,13.60,8.90,15.10,6.10,13.30,2.40,6.70,9.80,12.40
"DIC 1999",9.00,8.60,12.20,7.70,11.00,4.20,11.30,5.80,19.60,8.90,9.00
"MAR 2000",8.40,9.30,14.80,5.30,12.80,2.10,23.10,-0.90,10.20,8.20,10.30
"JUN 2000",9.70,7.70,19.40,7.30,8.20,5.40,25.20,2.50,16.10,9.60,10.30
"SEP 2000",9.90,7.10,19.50,8.50,10.40,7.30,22.90,4.30,11.50,10.00,6.00
"DIC 2000",8.60,7.00,19.30,6.00,10.80,3.10,18.40,2.40,36.20,8.80,3.80
"MAR 2001",7.10,8.70,12.90,4.50,14.20,1.20,36.20,-1.00,15.70,7.00,11.40
"JUN 2001",8.50,8.30,15.50,6.40,9.70,5.50,36.30,1.90,17.00,8.40,11.20
"SEP 2001",8.50,7.70,11.40,7.90,15.00,7.50,39.00,2.20,18.70,8.40,9.30
"DIC 2001",11.10,10.50,12.20,10.80,15.90,4.00,34.00,8.90,26.40,11.10,8.20
"MAR 2002",7.10,11.60,8.80,4.40,14.50,2.30,38.20,-1.20,15.50,6.90,9.90
"JUN 2002",10.10,10.40,12.70,8.90,10.50,6.30,65.20,3.80,19.60,10.10,12.30
"SEP 2002",11.00,10.80,11.50,10.70,14.40,8.70,90.70,5.10,16.30,11.10,10.60
"DIC 2002",12.90,13.80,11.50,12.70,15.20,7.60,91.20,8.30,16.90,12.80,7.70
"MAR 2003",7.40,9.80,10.80,5.20,12.80,1.10,87.10,-0.80,13.00,7.30,7.20
"JUN 2003",10.40,8.80,11.80,10.40,11.20,6.40,94.00,4.90,18.30,10.40,10.90
"SEP 2003",10.80,10.50,11.20,10.50,14.40,8.20,81.90,4.10,17.30,10.80,10.90
"DIC 2003",11.70,10.70,11.00,11.40,12.80,6.80,77.30,6.30,28.20,11.60,8.40
"MAR 2004",8.10,11.20,9.30,6.30,13.20,3.10,71.90,-0.50,15.20,7.90,9.90
"JUN 2004",10.00,8.40,14.50,8.90,7.40,6.10,75.80,3.30,22.40,9.90,10.10
"SEP 2004",10.40,8.30,14.50,9.90,11.20,7.50,68.50,3.90,15.10,10.40,8.40
"DIC 2004",11.80,9.40,15.30,10.90,11.40,5.00,59.50,7.00,28.40,11.80,7.60
"MAR 2005",8.50,10.20,12.30,6.50,12.00,2.80,59.00,-0.50,15.30,8.40,6.90
"JUN 2005",10.80,8.30,15.70,9.90,7.00,5.10,65.90,5.50,23.70,10.70,10.30
"SEP 2005",12.00,10.70,15.00,11.20,8.90,6.50,71.70,6.60,23.90,12.10,7.60
"DIC 2005",13.10,11.90,14.80,12.40,10.70,3.40,51.60,11.90,27.20,13.10,8.00
"MAR 2006",9.20,10.80,12.30,7.70,10.80,2.50,71.10,2.10,11.70,9.20,8.00
"JUN 2006",10.70,8.60,14.70,9.90,6.80,4.70,89.40,5.30,21.60,10.80,8.70
"SEP 2006",13.10,12.40,14.10,12.90,9.80,5.30,80.20,10.20,16.00,13.30,10.00
"DIC 2006",12.90,10.80,13.60,12.90,8.20,2.40,71.40,12.60,22.60,13.10,6.90
"MAR 2007",7.90,9.30,13.00,5.90,11.30,2.30,70.10,-2.00,11.30,7.90,8.00
"JUN 2007",10.50,8.30,17.20,9.60,5.40,4.10,80.80,5.10,13.60,10.50,9.90
"SEP 2007",10.50,9.00,12.70,10.90,7.70,6.40,82.80,5.90,7.10,10.50,9.00
"DIC 2007",11.90,10.60,11.00,12.50,7.50,3.50,71.10,11.10,16.30,12.00,8.20
"MAR 2008",5.60,8.00,9.70,4.00,10.30,1.80,43.40,-3.10,2.40,5.60,3.60
"JUN 2008",8.00,8.90,13.30,7.00,2.60,2.50,51.50,4.50,3.00,8.10,5.50
"SEP 2008",7.90,8.60,7.80,7.90,6.30,3.40,55.10,4.90,-2.60,7.90,5.30
"DIC 2008",6.60,7.90,-9.80,9.20,3.30,0.70,47.80,10.40,-2.80,6.70,-0.30
